name,altitude,lat,lon,country,state,city
Nevado Ojos del Salado​,6891,-27.109622,-68.542263722,Chile,Región de Atacama,Copiapó
Nevado Tres Cruces,6758,-27.09806,-68.77806,Chile,Región de Atacama,Copiapó
Llullaillaco,6739,-24.72,-68.53639,Argentina,Salta,
Nevado Tres Cruces Central,6629,-27.06861,-68.78639,Chile,Región de Atacama,Copiapó
Incahuasi,6638,-27.03333,-68.29667,Chile,Región de Atacama,Copiapó
Tupungato,6565,-33.35333,-69.77139,Chile,Región Metropolitana de Santiago,San José de Maipo
Volcán Ata,6501,-27.18194,-68.57611,Argentina,Catamarca,
El Muerto,6488,-27.05722,-68.48389,Chile,Región de Atacama,Copiapó
Parinacota,6342,-18.16639,-69.14306,Bolivia,Oruro,Municipio Curahuara de Carangas
Pomerape,6282,-18.12806,-69.12889,Bolivia,Oruro,Municipio Curahuara de Carangas
Los Patos,6239,-27.30111,-68.80861,Argentina,Catamarca,
Pular​,6233,-24.195,-68.05861,Chile,Región de Antofagasta,San Pedro de Atacama
Nevado Olivares,6216,-30.29833,-69.90111,Argentina,San Juan,
Solo,6205,-27.10417,-68.71306,Chile,Región de Atacama,Copiapó
Aucanquilcha,6176,-21.22083,-68.46833,Chile,Región de Antofagasta,Ollagüe
El Toro,6168,-29.12944,-69.13278,Argentina,San Juan,
Cerro Las Tórtolas,6160,-29.93528,-69.90722,Chile,Región de Coquimbo,
Cerro Alto San Juan (o Cerro Alto),6148,-33.46861,-69.815,Argentina,Mendoza,
El Ermitaño,6146,-26.78694,-68.60333,Chile,Región de Atacama,Copiapó
San Pedro,6145,-21.89083,-68.39333,Chile,Región de Antofagasta,Calama
Sierra Nevada de Lagunas Bravas,6127,-26.49361,-68.58583,Argentina,Catamarca,
Cerro Marmolejo,6108,-33.73417,-69.87778,Chile,Región Metropolitana de Santiago,
Volcán San Pablo,6092,-21.88667,-68.34472,Chile,Región de Antofagasta,Calama
Colorados,6080,-26.1733,-68.375,Argentina,Catamarca,
Volcán Copiapó,6072,-27.30583,-69.13083,Chile,Región de Atacama,Copiapó
Nevado El Plomo,6070,-33.10333,-70.055,Argentina,Mendoza,
Cerro Vicuñas,6067,-27.02472,-68.61472,Chile,Región de Atacama,Copiapó
Guallatiri,6063,-18.42389,-69.09028,Chile,Región de Arica y Parinacota,Putre
Acotango,6052,-18.38333,-69.04778,Bolivia,Oruro,Municipio Turco
Socompa,6051,-24.39583,-68.24583,Chile,Región de Antofagasta,Antofagasta
Acamarachi (o Pili),6046,-23.3,-67.617,Chile,Región de Antofagasta,San Pedro de Atacama
El Fraile,6040,-27.04861,-68.37944,Argentina,Catamarca,
Peña Blanca,6030,-26.82556,-68.64944,Chile,Región de Atacama,Copiapó
Salín,6029,-24.32778,-68.06778,Chile,Región de Antofagasta,Antofagasta
Palpana,6023,-21.54694,-68.52417,Chile,Región de Antofagasta,Calama
Nevado de los Piuquenes,6019,-33.51417,-69.83528,Chile,Región Metropolitana de Santiago,
San Francisco,6018,-26.91833,-68.26306,Argentina,Catamarca,
Tacora,5988,-17.71722,-69.77806,Chile,Región de Arica y Parinacota,General Lagos
Cerro Sillajhuay,5970,-19.75222,-68.70472,Chile,Región de Tarapacá,Pica
Cerro Juncal,5953,-33.05167,-70.09472,Chile,Región de Valparaíso,Los Andes
Licancabur,5920,-22.83111,-67.88056,Bolivia,Potosí,Municipio San Pablo de Lipez
Tupungatito,5913,-33.38528,-69.83917,Chile,Región Metropolitana de Santiago,San José de Maipo
Nevados Jotabeche,5880,-27.70056,-69.23222,Chile,Región de Atacama,Tierra Amarilla
Ollagüe,5863,-21.30167,-68.17917,Bolivia,Potosí,Municipio San Pedro de Quemes
San José,5856,-33.78556,-69.89306,Argentina,Mendoza,
Cerros de Tocorpuri,5808,-22.43889,-67.8875,Chile,Región de Antofagasta,San Pedro de Atacama
Chiliques,5778,-23.58889,-67.86667,Chile,Región de Antofagasta,San Pedro de Atacama
Lastarria,5697,-25.167,-68.5,Argentina,Salta,
Cerro Doña Ana,5690,-29.7575,-70.10806,Chile,Región de Coquimbo,Vicuña
Cerro Zapaleri,5648,-22.8,-67.16667,Argentina,Jujuy,Municipio de Cusi Cusi
Cerro Toco,5640,-22.9525,-67.77333,Chile,Región de Antofagasta,San Pedro de Atacama
Cerro Miscanti,5622,-23.683,-67.717,Chile,Región de Antofagasta,San Pedro de Atacama
Cerro Lirima,5572,-19.75778,-68.86833,Chile,Región de Tarapacá,Pica
Volcán Isluga,5501,-19.15833,-68.825,Chile,Región de Tarapacá,Colchane
Cerro El Plomo,5424,-33.23278,-70.21222,Chile,Región Metropolitana de Santiago,San José de Maipo
Cerro Alto Los Leones,5380,-33.005,-70.13222,Chile,Región de Valparaíso,Los Andes
Cerro Altar,5222,-33.18306,-70.24111,Chile,Región Metropolitana de Santiago,San José de Maipo
Irruputuncu,5163,-20.733,-68.55,Bolivia,Potosí,Municipio San Pedro de Quemes
Láscar,5140,-23.95,-67.883,Chile,Región de Antofagasta,San Pedro de Atacama
Cerro Doña Inés,5070,-26.07972,-69.18444,Chile,Región de Atacama,Diego de Almagro
Cerro Leonera,4954,-33.24278,-70.23917,Chile,Región Metropolitana de Santiago,Lo Barnechea
Cerro San Francisco,4940,-33.74417,-70.08667,Chile,Región Metropolitana de Santiago,San José de Maipo
Cerro El Palomo,4850,-34.60778,-70.295,Chile,Región del Libertador General Bernardo O'Higgins,Machalí
Cerro El Morado,4674,-33.72583,-70.0625,Chile,Región Metropolitana de Santiago,San José de Maipo
Tinguiririca,4260,-34.8,-70.333,Chile,Región del Libertador General Bernardo O'Higgins,San Fernando
Cerro El Pintor,4200,-33.283,-70.233,Chile,Región Metropolitana de Santiago,Lo Barnechea
Peteroa,4151,-35.24,-70.57,Chile,Región del Maule,Romeral
Monte San Valentín,4058,-46.595,-73.3458,Chile,Región Aysén del General Carlos Ibáñez del Campo,Aysén
